지점, 현재일기, 시정, 운량, 중하운량, 현재기온, 이슬점온도, 체감온도, 일강수, 적설, 습도, 풍향, 풍속, 해면기압
동두천,  , 19.4,  ,  , -7.8, -19.6, -13.0,  ,  , 38, 서, 11.2, 1022.8
동해,  , 20 이상,  ,  , -3.6, -23.3, -8.2,  ,  , 20, 북서, 12.2, 1014.2
목포, 약한 소낙눈, 13.2, 8, 8, -4.0, -6.7, -12.9, 0.5, 0.0, 81, 북북서, 41.8, 1022.8
문경,  , 18.4,  ,  , -7.3, -20.1, -14.2,  ,  , 35, 서북서, 18.7, 1019.1
밀양, 맑음, 20 이상, 1, 0, -2.2, -18.7, -7.3, 0.0, 0.7, 27, 북북서, 15.8, 1017.5
백령도, 약한 눈 연속적, 5.1, 9, 9, -9.0, -12.3, -19.7, 0.6, 1.1, 77, 북북서, 42.8, 1024.3
보령,  , 18.9,  ,  , -6.1, -12.2, -10.5, 1.6, 2.5, 62, 북, 9.7, 1022.2
보성군,  , 15.3,  ,  , -2.7, -6.8, -10.7, 0.1,  , 73, 북북서, 36.4, 1020.7
보은,  , 20 이상,  ,  , -7.9, -13.7, -13.5, 1.2, 2.7, 63, 서북서, 12.6, 1022.1
봉화,  , 20 이상,  ,  , -7.9, -21.4, -13.0,  ,  , 33, 서남서, 10.8, 1017.7
부산, 맑음, 20 이상, 1, 1, -1.7, -18.2, -7.5, 1.2,  , 27, 서북서, 20.5, 1016.5
부안,  , 1.2,  ,  , -6.4, -7.6, -6.4, 13.4, 23.4, 91, 북북동, 4.3, 1023.2
부여,  , 19.1,  ,  , -6.1, -12.8, -11.0, 0.1,  , 59, 북서, 11.2, 1023.6
북강릉, 맑음, 19.9, 0, 0, -4.4, -24.0, -10.4,  ,  , 20, 서남서, 17.6, 1014.3
북창원,  , 20 이상,  ,  , -0.6, -14.9, -4.8, 0.3,  , 33, 북서, 13.3, 1017.7
북춘천, 맑음, 20 이상, 0, 0, -8.2, -23.1, -14.6,  ,  , 29, 남서, 15.1, 1020.3
산청,  , 20 이상,  ,  , -5.7, -15.5, -14.1,  ,  , 46, 서북서, 31.3, 1020.1
상주,  , 20 이상,  ,  , -7.4, -18.1, -15.3,  ,  , 42, 서북서, 24.1, 1020.3
서귀포, 약한 눈 단속적, 11.0, 8, 8, 0.2, -3.5, -2.4, 1.1,  , 76, 북북서, 7.6, 1021.7
서산,  , 11.2,  ,  , -7.3, -14.3, -14.9, 0.0,  , 57, 북북서, 22.7, 1023.5
서울, 맑음, 20 이상, 0, 0, -8.8, -18.8, -15.4,  ,  , 44, 서, 15.5, 1022.2
성산,  , 1.5,  ,  , -1.3, -3.1, -6.9, 5.1, 1.8, 87, 북서, 19.8, 1021.0
세종,  , 17.0,  ,  , -8.4, -14.7, -14.0, 0.3, 2.1, 60, 북북서, 12.2, 1022.4
속초,  , 20 이상,  ,  , -5.1, -25.8, -9.2, 0.0,  , 18, 서남서, 9.4, 1014.8
수원, 맑음, 19.5, 0, 0, -8.6, -17.6, -15.8,  ,  , 48, 북서, 18.7, 1022.6
순창군,  , 0.7,  ,  , -6.4, -10.4, -12.2, 4.3, 9.2, 73, 서, 14.4, 1022.1
순천,  , 18.6,  ,  , -6.2, -10.6, -12.8,  , 1.0, 71, 북서, 18.7, 1020.5
안동, 맑음, 20 이상, 1, 1, -5.9, -22.3, -12.4,  ,  , 26, 서북서, 18.4, 1019.1
양산시,  , 16.0,  ,  , -1.7, -16.6, -6.9, 0.3,  , 31, 북서, 16.9, 1017.7
양평,  , 17.1,  ,  , -7.3, -20.1, -13.0,  ,  , 35, 서, 13.3, 1022.1
여수, 구름조금, 20 이상, 3, 3, -3.1, -12.3, -11.7, 0.1,  , 49, 서북서, 41.8, 1020.2
영광군,  , 2.1,  ,  , -4.6, -8.7, -10.5, 1.4, 2.1, 73, 북북서, 16.9, 1023.1
영덕,  , 20 이상,  ,  , -4.0, -20.2, -11.0,  ,  , 27, 서북서, 24.8, 1014.0
영월,  , 20 이상,  ,  , -6.8, -20.0, -11.7,  ,  , 34, 서남서, 10.8, 1018.8
영주,  , 20 이상,  ,  , -7.4, -20.2, -15.0,  ,  , 35, 서북서, 22.3, 1019.2
영천,  , 20 이상,  ,  , -4.5, -18.0, -10.9,  ,  , 34, 서북서, 20.2, 1018.9
완도,  , 11.0,  ,  , -2.3, -7.2, -8.0, 0.6, 1.1, 69, 북서, 19.1, 1021.8
울릉도, 강한 눈 연속적, 0.1 미만, 10, 9, -4.1, -4.3, -9.5, 26.9, 20.5, 98, 북, 15.1, 1010.2
울산, 맑음, 20 이상, 0, 0, -3.4, -19.7, -9.3, 0.0,  , 27, 서북서, 18.4, 1016.4
울진,  , 20 이상,  ,  , -2.4, -20.7, -7.3,  ,  , 23, 서남서, 14.8, 1013.8
원주,  , 19.7,  ,  , -7.6, -20.4, -12.9,  , 0.3, 35, 서, 11.5, 1020.3
의령군,  , 20 이상,  ,  , -0.6, -14.2, -6.6, 0.0,  , 35, 서, 24.5, 1018.4
의성,  , 20 이상,  ,  , -5.1, -19.6, -11.4,  ,  , 31, 서북서, 18.7, 1018.6
이천,  , 19.9,  ,  , -7.2, -20.7, -12.2,  ,  , 33, 북북서, 10.8, 1022.0
인제,  , 20 이상,  ,  , -8.3, -20.1, -15.1, 0.0, 0.8, 38, 남서, 16.9, 1019.0
인천, 맑음, 19.7, 1, 1, -9.4, -20.5, -17.5,  ,  , 40, 북서, 22.3, 1022.6
임실,  , 1.1,  ,  , -7.4, -9.9, -10.4, 2.4, 7.0, 82, 북북서, 5.8, 1022.3
장수,  , 18.4,  ,  , -8.4, -14.7, -15.0, 0.1, 2.8, 60, 서북서, 15.8, 1021.3
장흥,  , 19.8,  ,  , -2.8, -10.1, -9.8, 0.0,  , 57, 북, 27.0, 1021.2
전주, 구름조금, 20 이상, 5, 5, -5.4, -13.4, -11.0, 0.7, 2.5, 53, 북서, 14.8, 1022.0
정선군,  , 19.5,  ,  , -8.3, -22.1, -14.8,  ,  , 32, 북북동, 15.5, 1018.2
정읍,  , 0.4,  ,  , -7.6, -9.5, -7.6, 11.9, 24.9, 86, 북북동, 4.7, 1022.9
제주, 약한 소낙눈, 10.1, 9, 4, 0.3, -3.0, -6.3, 1.4,  , 78, 북서, 32.4, 1022.0
제천,  , 19.4,  ,  , -8.2, -20.3, -14.1, 0.0,  , 37, 서, 13.3, 1019.8
진도군,  , 11.3,  ,  , -2.4, -6.7, -9.2, 0.3,  , 72, 북서, 26.3, 1022.7
진주,  , 20 이상,  ,  , -2.0, -14.7, -7.0, 0.1,  , 37, 북북서, 15.8, 1019.2
창원, 맑음, 20 이상, 2, 2, -2.3, -18.3, -6.4, 0.2,  , 28, 서, 11.2, 1017.3
천안, 맑음, 16.7, 0, 0, -7.7, -16.1, -14.3, 0.0,  , 51, 북서, 16.9, 1023.1
철원,  , 20 이상,  ,  , -10.1, -22.3, -14.7,  ,  , 36, 서북서, 8.3, 1022.2
청송군,  , 20 이상,  ,  , -6.9, -20.1, -13.6,  , 0.4, 34, 북서, 18.4, 1017.8
청주, 눈 끝, 20 이상, 2, 2, -7.9, -14.7, -13.6, 0.1, 4.0, 58, 서, 13.0, 1023.0
추풍령,  , 18.3,  ,  , -9.2, -17.2, -17.2, 0.6,  , 52, 서북서, 21.6, 1020.9
춘천,  , 20 이상,  ,  , -7.3, -22.3, -13.4,  ,  , 29, 서남서, 15.1, 1020.2
충주,  , 19.4,  ,  , -7.1, -19.3, -13.4, 0.0, 0.8, 37, 서, 15.8, 1021.1
태백,  , 20 이상,  ,  , -10.2, -21.8, -15.7, 0.0,  , 38, 북북서, 10.4, 1015.9
통영,  , 19.5,  ,  , -0.8, -12.4, -6.4, 0.7,  , 41, 북서, 20.9, 1018.4
파주,  , 20 이상,  ,  , -9.5, -20.3, -15.9,  ,  , 41, 서북서, 14.0, 1023.4
포항, 맑음, 19.7, 0, 0, -3.5, -20.2, -10.7, 0.0,  , 26, 서, 27.0, 1015.4
함양군,  , 20 이상,  ,  , -4.4, -15.1, -9.9,  ,  , 43, 서북서, 15.1, 1020.4
합천,  , 20 이상,  ,  , -2.8, -16.1, -7.6,  ,  , 35, 서북서, 13.7, 1019.3
해남,  , 10.6,  ,  , -3.9, -8.2, -9.5, 0.6, 0.8, 72, 서북서, 16.2, 1022.7
홍성, 눈 끝, 20 이상, 9, 9, -7.2, -13.6, -12.3, 0.0,  , 60, 북서, 11.2, 1023.4
홍천,  , 20 이상,  ,  , -7.9, -20.7, -13.5,  , 0.8, 35, 서북서, 12.6, 1020.6
흑산도, 보통 눈 연속적, 0.8, 10, 8, -2.6, -2.7, -12.0, 1.3, 6.8, 99, 북북서, 54.4, 1013.4
