지점, 현재일기, 시정, 운량, 중하운량, 현재기온, 이슬점온도, 체감온도, 일강수, 적설, 습도, 풍향, 풍속, 해면기압
서귀포, 약한 소낙눈, 19.1, 9, 9, 2.8, -1.1, 2.8, 0.7, 1.6, 75, 북북서, 4.7, 1027.1
서산,  , 18.3,  ,  , -6.8, -12.8, -10.4, 0.0,  , 62, 동, 7.2, 1027.6
서울, 맑음, 20 이상, 0, 0, -8.4, -18.2, -13.1,  ,  , 45, 서, 9.4, 1027.5
성산,  , 20 이상,  ,  , 1.9, -5.2, -1.2, 1.5, 3.2, 59, 북북서, 10.4, 1027.6
세종,  , 18.9,  ,  , -8.4, -17.9, -8.4,  , 2.2, 46, 남, 3.6, 1028.2
속초,  , 20 이상,  ,  , -7.0, -23.3, -13.5,  ,  , 26, 북, 17.3, 1021.5
수원, 맑음, 19.4, 0, 0, -7.9, -17.0, -11.3,  ,  , 48, 북서, 6.5, 1027.9
순창군,  , 20 이상,  ,  , -5.5, -12.0, -8.0,  , 5.4, 60, 동, 5.4, 1027.7
순천,  , 18.6,  ,  , -4.2, -10.4, -10.4,  , 0.7, 62, 서북서, 19.4, 1026.3
안동, 맑음, 20 이상, 0, 0, -7.2, -19.7, -13.5,  ,  , 36, 서북서, 15.8, 1027.2
양산시,  , 14.7,  ,  , -3.4, -14.7, -8.6,  ,  , 41, 서북서, 15.1, 1025.2
양평,  , 20 이상,  ,  , -7.1, -19.6, -10.1,  ,  , 36, 서, 5.8, 1028.2
여수, 맑음, 20 이상, 0, 0, -1.7, -11.2, -6.7,  ,  , 48, 서북서, 16.2, 1026.4
영광군,  , 20 이상,  ,  , -6.0, -10.4, -6.0, 0.3, 12.3, 71, 북서, 1.8, 1028.5
영덕,  , 20 이상,  ,  , -6.3, -19.6, -15.2,  ,  , 34, 서북서, 34.2, 1022.9
영월,  , 19.2,  ,  , -8.2, -17.2, -8.2,  ,  , 48, 정온, 1.4, 1026.8
영주,  , 20 이상,  ,  , -8.7, -19.6, -17.3,  ,  , 41, 서북서, 26.6, 1026.0
영천,  , 20 이상,  ,  , -5.3, -16.2, -11.7,  ,  , 42, 서북서, 18.7, 1026.9
완도,  , 20 이상,  ,  , -0.6, -6.7, -4.7, 0.0, 0.8, 63, 북북서, 12.6, 1027.3
울릉도, 약한 눈 단속적, 10.8, 8, 8, -3.6, -7.7, -9.2, 4.9, 33.0, 73, 서남서, 16.9, 1018.0
울산, 맑음, 20 이상, 0, 0, -4.0, -15.6, -10.0,  ,  , 40, 북북서, 18.4, 1023.9
울진,  , 20 이상,  ,  , -2.5, -21.8, -6.9,  ,  , 21, 남남서, 12.2, 1021.2
원주,  , 20 이상,  ,  , -9.1, -21.4, -9.1,  , 0.5, 36, 남남서, 4.3, 1027.7
의령군,  , 12.3,  ,  , -2.3, -14.7, -5.0,  ,  , 38, 동, 6.8, 1025.9
의성,  , 20 이상,  ,  , -6.4, -18.1, -11.2,  ,  , 39, 서, 10.8, 1026.5
이천,  , 19.9,  ,  , -7.9, -18.0, -11.2,  ,  , 44, 서남서, 6.1, 1028.3
인제,  , 20 이상,  ,  , -9.9, -20.7, -16.5,  , 0.8, 41, 남남서, 14.4, 1026.4
인천, 맑음, 20 이상, 0, 0, -8.2, -19.4, -12.5,  ,  , 40, 북, 8.3, 1027.3
임실,  , 19.0,  ,  , -5.1, -11.0, -5.1,  , 4.2, 63, 북북동, 2.9, 1027.8
장수,  , 19.0,  ,  , -6.2, -11.3, -10.7,  , 2.0, 67, 동북동, 10.1, 1026.8
장흥,  , 20 이상,  ,  , -2.6, -9.0, -2.6, 0.0, 0.5, 61, 서, 3.2, 1027.2
전주, 맑음, 20 이상, 0, 0, -5.3, -12.7, -8.3,  , 1.6, 56, 북북서, 6.5, 1028.0
정선군,  , 15.5,  ,  , -9.2, -22.9, -12.5,  ,  , 32, 남동, 5.8, 1025.6
정읍,  , 18.5,  ,  , -6.3, -11.2, -6.3, 0.0, 24.2, 68, 정온, 1.1, 1027.8
제주, 약한 소낙눈, 1.5, 9, 9, 0.5, -0.9, -2.8, 0.9, 1.4, 90, 서북서, 10.4, 1028.2
제천,  , 20 이상,  ,  , -8.1, -19.3, -14.5,  ,  , 40, 서북서, 15.5, 1027.2
진도군,  , 18.6,  ,  , -2.3, -5.9, -2.3, 0.4, 0.5, 76, 동, 2.5, 1027.7
진주,  , 20 이상,  ,  , -2.3, -14.4, -2.3,  ,  , 39, 남서, 2.5, 1026.3
창원, 맑음, 20 이상, 0, 0, -4.7, -17.5, -8.7,  ,  , 36, 동북동, 9.4, 1025.4
천안,  , 20 이상,  ,  , -8.4, -16.7, -8.4,  ,  , 51, 남남동, 3.6, 1029.0
철원,  , 20 이상,  ,  , -10.7, -21.4, -15.1,  ,  , 41, 남, 7.6, 1027.9
청송군,  , 20 이상,  ,  , -9.0, -20.1, -16.3,  ,  , 40, 북서, 18.4, 1026.1
청주, 맑음, 20 이상, 0, 0, -8.9, -18.1, -8.9,  , 3.6, 47, 남, 4.3, 1028.9
추풍령,  , 20 이상,  ,  , -9.2, -17.0, -17.5,  ,  , 53, 서남서, 23.8, 1027.8
춘천,  , 20 이상,  ,  , -9.0, -21.7, -9.0,  ,  , 35, 동, 3.2, 1027.1
충주,  , 19.0,  ,  , -9.6, -20.1, -13.5,  , 0.8, 42, 서남서, 6.8, 1028.8
태백,  , 20 이상,  ,  , -10.0, -23.9, -14.1,  ,  , 31, 북서, 7.2, 1022.4
통영,  , 19.8,  ,  , -1.4, -13.5, -5.4,  ,  , 39, 남서, 11.5, 1026.0
파주,  , 20 이상,  ,  , -8.8, -18.3, -8.8,  ,  , 46, 남, 3.2, 1028.3
포항, 맑음, 20 이상, 0, 0, -3.7, -17.6, -9.8,  ,  , 33, 서, 19.4, 1023.8
함양군,  , 20 이상,  ,  , -1.6, -12.2, -5.6,  ,  , 44, 서, 11.5, 1025.8
합천,  , 20 이상,  ,  , -3.5, -14.5, -3.5,  ,  , 42, 동, 3.6, 1026.0
해남,  , 20 이상,  ,  , -4.1, -8.4, -7.8, 0.2, 1.8, 72, 서남서, 8.6, 1027.9
홍성, 눈 끝, 20 이상, 0, 0, -7.5, -13.5, -10.5, 0.0, 0.3, 62, 동북동, 5.8, 1027.9
홍천,  , 20 이상,  ,  , -9.9, -19.3, -9.9,  , 0.5, 46, 북동, 4.3, 1028.0
흑산도, 소낙눈 끝, 20 이상, 8, 8, 1.6, -4.0, -3.6, 1.5, 5.0, 66, 서북서, 23.0, 1028.5
